dataset,comparison,metric,n_sentences,traditional_mean,joint_mean,mean_difference,ci_low,ci_high,p_bootstrap
UD_Chinese-GSD,UD Boundary Model-Joint vs Traditional longest-match,UPOS oracle labelled span-F1,500,0.7083765097335476,0.8442339932954217,0.1358574835618741,0.12486716949260332,0.14708123444228483,0.0
UD_Chinese-GSD,UD Boundary Model-Joint vs Traditional longest-match,deprel oracle labelled span-F1,500,0.7083765097335476,0.8442339932954217,0.1358574835618741,0.12464797099141735,0.14704173695919243,0.0
UD_Chinese-GSD,UD Boundary Model-Joint vs Traditional longest-match,UPOS model labelled span-F1,500,0.6437991815511925,0.7754047336495082,0.13160555209831562,0.12104647502153362,0.14229596196258923,0.0
UD_Chinese-GSD,UD Boundary Model-Joint vs Traditional longest-match,deprel model labelled span-F1,500,0.4891017695879003,0.6187081994139318,0.12960642982603157,0.1184992296765852,0.14057909784866196,0.0
UD_Chinese-GSDSimp,UD Boundary Model-Joint vs Traditional longest-match,UPOS oracle labelled span-F1,500,0.7140402338771734,0.8434436368271981,0.12940340295002475,0.11809538643839788,0.14050055485270618,0.0
UD_Chinese-GSDSimp,UD Boundary Model-Joint vs Traditional longest-match,deprel oracle labelled span-F1,500,0.7140402338771734,0.8434436368271981,0.12940340295002475,0.11822937674935548,0.14076592585801717,0.0
UD_Chinese-GSDSimp,UD Boundary Model-Joint vs Traditional longest-match,UPOS model labelled span-F1,500,0.6488685639436779,0.7748987155620765,0.12603015161839837,0.11522986127517731,0.13691524451200232,0.0
UD_Chinese-GSDSimp,UD Boundary Model-Joint vs Traditional longest-match,deprel model labelled span-F1,500,0.49456934715573514,0.6184270456843255,0.12385769852859033,0.11307247627857256,0.13450652408309016,0.0
UD_Chinese-PUD,UD Boundary Model-Joint vs Traditional longest-match,UPOS oracle labelled span-F1,1000,0.6874906216008777,0.8339845844208033,0.1464939628199255,0.13817284899702448,0.15470053485656252,0.0
UD_Chinese-PUD,UD Boundary Model-Joint vs Traditional longest-match,deprel oracle labelled span-F1,1000,0.6874906216008777,0.8339845844208033,0.1464939628199255,0.13838278958711298,0.15465653043804928,0.0
UD_Chinese-PUD,UD Boundary Model-Joint vs Traditional longest-match,UPOS model labelled span-F1,1000,0.5981436793388146,0.7186463856754456,0.12050270633663086,0.11292896726437225,0.12816586701837065,0.0
UD_Chinese-PUD,UD Boundary Model-Joint vs Traditional longest-match,deprel model labelled span-F1,1000,0.3861155086190721,0.4943211096629101,0.10820560104383802,0.1020034147342279,0.11458729745527832,0.0
UD_Chinese-HK,UD Boundary Model-Joint vs Traditional longest-match,UPOS oracle labelled span-F1,1004,0.6200544333643473,0.8067413345808593,0.18668690121651194,0.17219026178525162,0.20147166521727086,0.0
UD_Chinese-HK,UD Boundary Model-Joint vs Traditional longest-match,deprel oracle labelled span-F1,1004,0.6200544333643473,0.8067413345808593,0.18668690121651194,0.17192743797221954,0.2016319727637971,0.0
UD_Chinese-HK,UD Boundary Model-Joint vs Traditional longest-match,UPOS model labelled span-F1,1004,0.5025377137565908,0.6487774409566024,0.14623972720001152,0.13482124419955513,0.1576759080696859,0.0
UD_Chinese-HK,UD Boundary Model-Joint vs Traditional longest-match,deprel model labelled span-F1,1004,0.36997631193857383,0.45897709464347997,0.08900078270490613,0.08020599202033156,0.09772195965762724,0.0
UD_Chinese-CFL,UD Boundary Model-Joint vs Traditional longest-match,UPOS oracle labelled span-F1,451,0.602017367540619,0.7885723310357593,0.18655496349514034,0.1692775179001814,0.20373909722421465,0.0
UD_Chinese-CFL,UD Boundary Model-Joint vs Traditional longest-match,deprel oracle labelled span-F1,451,0.602017367540619,0.7885723310357593,0.18655496349514034,0.16912477594592668,0.20367383163438182,0.0
UD_Chinese-CFL,UD Boundary Model-Joint vs Traditional longest-match,UPOS model labelled span-F1,451,0.4705079768101043,0.6226891094151964,0.15218113260509208,0.13719017780010406,0.16742918054582343,0.0
UD_Chinese-CFL,UD Boundary Model-Joint vs Traditional longest-match,deprel model labelled span-F1,451,0.3304673886755568,0.4416139905720319,0.11114660189647511,0.09852075671935179,0.1236832139140499,0.0
