dataset,joint_boundary_f1,joint_span_f1,vs_traditional_boundary,vs_traditional_span,vs_traditional_upos_oracle,vs_traditional_deprel_oracle,vs_traditional_upos_model,vs_traditional_deprel_model,best_external,best_external_boundary,vs_best_external_boundary,vs_best_external_span,single_gsd_boundary,joint_vs_single_gsd_boundary,joint_vs_single_gsd_span
UD_Chinese-CFL,0.918551,0.798188,0.084422,0.19489100000000004,0.18655496349514034,0.18655496349514034,0.15218113260509208,0.11114660189647507,pkuseg,0.965362,-0.04681100000000005,-0.10787099999999994,0.858634,0.059917,0.137556
UD_Chinese-GSD,0.934645,0.840935,0.065029,0.12696399999999997,0.1358574835618741,0.1358574835618741,0.1316055520983157,0.12960642982603154,stanza_zh_gsdsimp,0.907961,0.02668399999999993,0.06730899999999995,0.933861,0.0007839999999998959,0.0022689999999999655
UD_Chinese-GSDSimp,0.934436,0.840413,0.061894000000000005,0.11997499999999994,0.12940340295002473,0.12940340295002473,0.1260301516183986,0.12385769852859041,stanza_zh_gsdsimp,0.974924,-0.04048799999999997,-0.09941300000000008,0.854301,0.08013500000000007,0.17738199999999993
UD_Chinese-HK,0.919769,0.803238,0.07854099999999997,0.16498400000000002,0.186686901216512,0.186686901216512,0.14623972720001155,0.08900078270490613,pkuseg,0.921771,-0.0020020000000000593,-0.01693100000000003,0.920052,-0.0002830000000000332,-9.199999999998099e-05
UD_Chinese-PUD,0.931629,0.832201,0.073214,0.14693499999999993,0.14649396281992555,0.14649396281992555,0.12050270633663096,0.10820560104383797,pkuseg,0.911455,0.020174000000000025,0.03644599999999998,0.930035,0.0015940000000000953,0.0037289999999999823
